state,date,max_temp,mean_temp,min_temp,mean_humidity,mean_wind,total_rain,mean_pressure,peak_demand,mean_demand,mean_price
QLD1,2011-05-03,24.2,18.166666666666668,15.8,84.52083333333333,3.095833333333333,19.6,1013.15625,6727.98,5748.676666666666,28.761458333333334
QLD1,2011-05-04,25.1,18.639583333333334,15.1,76.79166666666667,3.6125000000000003,19.6,1013.1041666666666,6650.73,5687.841666666667,27.795416666666668
QLD1,2011-05-05,25.4,18.672916666666666,14.3,68.6875,4.625,0.2,1015.7270833333333,6691.28,5704.609166666666,30.194374999999997
QLD1,2011-05-06,24.6,18.608333333333334,14.9,63.0625,3.129166666666667,0.0,1018.3041666666667,6469.97,5695.725208333333,28.785833333333333
QLD1,2011-05-07,24.5,17.252083333333335,12.5,68.95833333333333,3.1750000000000003,0.0,1016.4499999999999,6231.28,5345.6883333333335,26.950208333333336
QLD1,2011-05-08,24.0,17.6875,12.5,74.5625,2.7624999999999997,0.0,1014.6041666666666,6336.49,5288.217708333334,24.049791666666668
QLD1,2011-05-09,18.8,16.8125,14.5,87.41666666666667,2.5500000000000003,5.6,1011.4708333333333,6920.12,5801.005,27.756249999999998
QLD1,2011-05-10,22.4,16.599999999999998,12.6,70.0,6.108333333333333,3.8,1011.1750000000001,6784.61,5757.536458333333,24.376458333333332
QLD1,2011-05-11,21.3,16.104166666666668,10.6,54.4375,5.8500000000000005,0.0,1013.1604166666666,6790.19,5728.994374999999,25.034791666666667
QLD1,2011-05-12,21.2,15.918750000000001,12.1,48.333333333333336,8.483333333333333,0.0,1013.275,6793.97,5788.9452083333335,25.800625
QLD1,2011-05-13,22.6,15.164583333333333,8.0,56.979166666666664,4.054166666666666,0.0,1014.3979166666667,6682.87,5791.235625,25.521874999999998
QLD1,2011-05-14,22.7,15.433333333333332,8.2,59.291666666666664,3.2624999999999997,0.0,1015.96875,6359.67,5431.338125,24.74416666666667
QLD1,2011-05-15,22.5,16.327083333333334,11.6,49.4375,4.425,0.0,1025.0291666666667,6489.87,5342.150625,26.770416666666666
QLD1,2011-05-16,23.4,15.654166666666667,10.8,73.45833333333333,2.845833333333333,0.4,1027.7333333333333,6962.06,5821.251458333333,27.08666666666667
QLD1,2011-05-17,24.1,17.052083333333332,11.3,72.27083333333333,3.9791666666666665,0.4,1026.2958333333333,6898.74,5818.243125,28.92770833333333
QLD1,2011-05-18,23.3,17.516666666666666,12.2,68.52083333333333,5.095833333333333,0.2,1027.2729166666666,6854.69,5744.682083333333,26.114375
QLD1,2011-05-19,22.4,17.556250000000002,14.7,82.97916666666667,4.7,4.2,1027.0291666666667,6885.46,5841.415416666667,29.607708333333335
QLD1,2011-05-20,22.9,17.879166666666666,14.3,77.5625,4.120833333333334,4.2,1025.4770833333334,6506.42,5699.854375,36.675625000000004
QLD1,2011-05-21,22.9,17.912499999999998,14.2,83.58333333333333,3.8375,5.0,1023.8395833333334,6284.52,5370.732916666667,30.241666666666664
QLD1,2011-05-22,24.0,19.385416666666668,17.2,84.41666666666667,2.704166666666667,10.8,1020.1666666666666,6491.45,5267.038125,26.874583333333334
QLD1,2011-05-23,22.9,17.9875,15.9,88.41666666666667,1.9583333333333333,11.4,1012.3708333333334,6989.89,5827.90625,27.35020833333333
QLD1,2011-05-24,22.1,18.127083333333335,14.2,63.625,8.354166666666666,11.4,1007.8125,6846.55,5757.193958333333,27.46083333333333
QLD1,2011-05-25,19.2,15.46875,11.8,59.1875,10.829166666666666,0.0,1008.5437499999999,6966.25,5805.978749999999,28.655833333333334
QLD1,2011-05-26,21.3,15.56875,11.1,62.395833333333336,5.0125,0.0,1012.9499999999999,6865.79,5784.247916666667,28.503958333333333
QLD1,2011-05-27,22.8,14.972916666666668,9.7,69.64583333333333,2.5833333333333335,0.0,1017.2458333333334,6622.55,5799.1375,33.15208333333333
QLD1,2011-05-28,22.0,16.254166666666666,10.5,72.08333333333333,3.8125,0.0,1020.4354166666667,6136.09,5406.10375,30.436666666666667
QLD1,2011-05-29,22.5,17.666666666666668,14.6,74.22916666666667,3.9958333333333336,0.0,1020.8958333333334,6213.09,5282.779583333334,26.60083333333333
QLD1,2011-05-30,22.0,16.868750000000002,12.4,79.02083333333333,3.220833333333333,12.0,1016.4416666666666,6713.38,5787.580416666667,25.954375
QLD1,2011-05-31,19.6,14.435416666666667,10.6,76.08333333333333,4.041666666666667,0.2,1014.3020833333334,6931.93,5880.933958333334,23.145208333333333
QLD1,2011-06-01,19.3,14.429166666666667,11.2,76.20833333333333,2.7750000000000004,0.0,1015.1875,6800.59,5859.88625,23.826666666666668
QLD1,2011-06-02,23.1,17.704166666666666,12.7,71.91666666666667,5.720833333333334,0.0,1016.8000000000001,6650.03,5826.031041666666,23.5975
QLD1,2011-06-03,23.6,17.3125,12.2,70.125,3.7416666666666667,0.0,1017.0895833333334,6477.52,5743.051666666666,23.360208333333333
QLD1,2011-06-04,23.6,15.85,10.6,73.04166666666667,2.3875,0.0,1017.1729166666668,6053.97,5352.973541666667,22.129791666666666
QLD1,2011-06-05,22.5,15.614583333333334,11.1,76.75,1.9875,0.0,1016.8416666666667,6332.48,5324.291875,21.63
QLD1,2011-06-06,25.4,17.3125,10.8,72.66666666666667,2.216666666666667,0.0,1016.2062500000001,6699.65,5759.6375,24.293125
QLD1,2011-06-07,18.6,15.960416666666667,14.1,75.6875,2.2125,0.0,1017.7083333333334,6751.5,5821.12,24.367708333333336
QLD1,2011-06-08,18.0,16.118750000000002,13.3,57.875,4.433333333333334,0.0,1016.9166666666666,6895.74,5852.171249999999,27.52916666666667
QLD1,2011-06-09,15.6,12.585416666666667,11.1,46.854166666666664,7.904166666666666,0.0,1016.3326086956522,7640.42,6244.872083333333,28.53625
QLD1,2011-06-10,20.0,12.725,6.9,53.979166666666664,4.3999999999999995,0.0,1016.7395833333334,7132.01,6127.267291666667,30.4725
QLD1,2011-06-11,15.4,12.674999999999999,9.8,72.89583333333333,3.204166666666667,1.8,1018.4958333333334,7008.74,5924.342291666667,28.253125
QLD1,2011-06-12,18.0,14.602083333333333,12.9,86.3125,5.491666666666667,3.8,1015.5145833333332,6440.6,5552.440416666667,24.15625
QLD1,2011-06-13,22.2,16.29375,12.7,72.6875,6.745833333333334,0.2,1012.6333333333333,6571.19,5503.772916666666,24.28895833333333
QLD1,2011-06-14,19.5,15.012500000000001,9.6,70.6875,7.4375,0.0,1011.3333333333334,6985.53,5916.638749999999,27.093333333333334
QLD1,2011-06-15,19.4,13.8375,8.5,73.125,2.0625,0.0,1014.5395833333333,6969.99,5926.830416666667,26.673125
QLD1,2011-06-16,21.8,14.708333333333334,7.9,70.45833333333333,5.3125,0.0,1014.2770833333334,7009.16,6003.349583333334,27.673333333333332
QLD1,2011-06-17,21.1,15.414583333333333,8.1,61.8125,7.625,0.0,1011.8979166666667,6755.04,5932.605208333333,26.137083333333333
QLD1,2011-06-18,20.3,15.147916666666667,8.7,47.604166666666664,9.758333333333335,0.0,1012.2687500000001,6409.11,5589.5389583333335,27.3875
QLD1,2011-06-19,19.5,12.347916666666668,7.3,66.04166666666667,3.0875,0.0,1016.1291666666666,6730.48,5523.719166666667,26.035625
QLD1,2011-06-20,20.8,12.272916666666667,6.0,73.875,1.8458333333333334,0.0,1016.9666666666667,7189.34,6095.728541666666,26.389166666666668
QLD1,2011-06-21,22.6,14.266666666666666,6.1,69.45833333333333,3.141666666666667,0.0,1013.5229166666667,7079.51,6071.8829166666665,26.101041666666664
QLD1,2011-06-22,18.0,13.533333333333333,8.5,54.833333333333336,7.379166666666666,0.0,1014.7104166666667,7211.55,6039.392708333333,28.314999999999998
QLD1,2011-06-23,20.2,11.929166666666667,6.4,63.6875,2.7416666666666667,0.0,1019.3583333333332,7321.32,6132.113125,27.159375
QLD1,2011-06-24,23.0,14.314583333333333,7.8,68.625,3.2708333333333335,0.2,1024.3729166666667,7099.29,6065.848541666666,25.3175
QLD1,2011-06-25,22.2,16.685416666666665,12.6,68.75,5.291666666666667,0.2,1027.2208333333333,6198.67,5494.911041666666,22.969375
QLD1,2011-06-26,22.3,16.504166666666666,12.8,73.04166666666667,4.066666666666666,0.0,1026.7666666666667,6267.98,5316.2625,21.827916666666667
QLD1,2011-06-27,21.6,15.981250000000001,12.9,74.02083333333333,2.558333333333333,0.0,1026.0125,6818.19,5810.730833333334,24.272499999999997
QLD1,2011-06-28,21.9,16.772916666666667,12.1,69.04166666666667,5.954166666666667,0.0,1027.9895833333333,6729.32,5835.143333333333,23.807083333333335
QLD1,2011-06-29,18.9,15.645833333333334,13.3,79.54166666666667,6.55,5.0,1029.6125,6884.67,5841.564375000001,22.86145833333333
QLD1,2011-06-30,20.8,15.414583333333333,12.3,73.8125,6.470833333333334,6.4,1029.2520833333333,6795.79,5831.513333333333,23.137708333333332
QLD1,2011-07-01,21.0,15.272916666666667,11.4,72.9375,4.966666666666667,0.2,1024.8270833333333,6516.23,5765.212916666666,21.705
QLD1,2011-07-02,21.8,15.477083333333333,11.4,72.08333333333333,4.0625,0.0,1022.8375,6243.42,5413.756666666667,19.494375
QLD1,2011-07-03,19.9,15.206249999999999,12.4,76.5625,3.3125,0.0,1021.9645833333334,6249.85,5281.119166666666,18.177291666666665
QLD1,2011-07-04,23.0,16.135416666666668,10.7,74.14583333333333,3.408333333333333,0.0,1019.5395833333333,6582.53,5648.768125,20.628333333333334
QLD1,2011-07-05,22.1,17.039583333333333,11.2,52.833333333333336,8.852083333333335,0.0,1015.35,6650.09,5742.5877083333335,22.670416666666668
QLD1,2011-07-06,20.9,15.762500000000001,7.2,39.041666666666664,9.025,0.0,1014.8166666666666,6734.08,5790.762083333334,23.324375
QLD1,2011-07-07,20.6,14.470833333333333,7.7,47.291666666666664,6.9875,0.0,1017.4916666666667,6771.42,5844.704583333333,24.692083333333333
QLD1,2011-07-08,20.7,13.754166666666668,6.6,51.958333333333336,3.5208333333333335,0.0,1022.0583333333334,6700.47,5836.783541666667,26.316041666666667
